created_at	id	text	source	quote_from	quote_id	pic_url	retweet_id	reply_id	user_mention0	retweeted_from
Thu Jul 25 13:45:44 +0000 2013	360395444280492032	@ctmommy Congress is right to be concerned about NSA program but we should strengthen protections &amp; improve it not eliminate it altogether.	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							ctmommy
Wed Jul 24 14:05:18 +0000 2013	360037979491807232	I agree w/ WSJ editorial &amp; instead support a carefully vetted alternative prohibiting NSA from targeting Americans. http://t.co/k8kfWOIf9H	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							
Wed Jul 24 14:01:35 +0000 2013	360037046695374849	@KirkM0rris  I agree w/ today's WSJ editorial &amp; instead support a carefully vetted alternative prohibiting NSA from targeting U.S. citizens.	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							KirkM0rris
Wed Jul 24 14:01:24 +0000 2013	360037000629334020	@sjlombardo  I agree w/ today's WSJ editorial &amp; instead support a carefully vetted alternative prohibiting NSA from targeting U.S. citizens.	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							sjlombardo
Wed Jul 24 14:00:57 +0000 2013	360036887240511488	.@tmorbs I agree w/ today's WSJ editorial &amp; instead support a carefully vetted alternative prohibiting NSA from targeting U.S. citizens.	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Wed Jul 24 13:52:34 +0000 2013	360034776226340864	.@Nunya_Biznas I will vote later this afternoon to prohibit the NSA from targeting U.S. citizens or acquiring/storing data on U.S. citizens.	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							Nunya_Biznas
Wed Jul 24 09:43:09 +0000 2013	359972010316668928	Berkeley Heights Fire Co. Receives $100K Grant http://t.co/HcKWnWSet9 via @CranfordPatch	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							cranfordpatch
Tue Jul 23 13:08:13 +0000 2013	359661226562818050	Berkeley Heights Assistance to Firefighters Grant Will Enable Unprecedented Communication http://t.co/uf2ZrNFQ0A	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							
Mon Jul 22 22:07:07 +0000 2013	359434456681029635	Greater Westfield Area Chamber of Commerce Hosts Women Business Owners Forum http://t.co/4i3DlMrULS	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							
Mon Jul 22 20:31:26 +0000 2013	359410379736088576	Congressman Leonard Lance Tours @OticonMedical Headquarters http://t.co/SlNR3xcD8Z via @sharethis	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							OticonMedical
Mon Jul 22 20:28:02 +0000 2013	359409521321459713	Thanks @GWACC_NJ for hosting this AM's forum where I learned about the many challenges facing women business owners. http://t.co/heffPr3ECX	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"				http://pbs.twimg.com/media/BPzhDi-CQAIva1e.jpg			GWACC_NJ
Sat Jul 20 11:47:27 +0000 2013	358553737872158721	@HouseCommerce is working in a bipartisan capacity to repeal the unsustainable physician payment system.http://t.co/K5yjKkd5Ec via @PSBJ	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							HouseCommerce
Sat Jul 20 11:31:45 +0000 2013	358549787722792961	"The FDA user fee program is critical in ensuring timely patient access to life-saving medicines and medical devices.
http://t.co/a1GYextLNQ"	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							
Thu Jul 18 18:45:51 +0000 2013	357934255952756736	Pascrell, Lance: Don’t Cut Cancer Patients’ Access to Care http://t.co/NxoJtEN2aV	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							
Wed Jul 17 01:26:59 +0000 2013	357310430047248385	I cosponsored HR 647 the ABLE Act to help ease financial strains faced by individuals with disabilities. Thx you @valmg for your advocacy.	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"							valmg
Thu Jul 11 12:33:47 +0000 2013	355303909830561792	House passed @USRepRodney fiscally responsible bill that invests in infrastructure projects &amp; energy solutions critical to our economy.	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							USRepRodney
Wed Jul 10 20:14:58 +0000 2013	355057579434577922	Pass the Senate immigration bill or pursue a step-by-step approach that secures our borders first? Share your views @ http://t.co/2yLkU2jDQe	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Wed Jul 10 19:20:56 +0000 2013	355043983648497665	Obamacare: Unworkable, unaffordable, and not what the American people were promised. http://t.co/XFo4b7p7Qu	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Wed Jul 10 19:16:25 +0000 2013	355042844756570112	Great meeting w/ those participating in this week's Bank of America Student Leadership Summit #BofAStudentLeaders http://t.co/CqCD0kzyYa	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"				http://pbs.twimg.com/media/BO1dlhJCcAACsFO.jpg			
Wed Jul 10 19:03:01 +0000 2013	355039474369064960	I had the pleasure of meeting with students of the NJ @4H. We had a great dialogue about leadership &amp; public service. http://t.co/H2zzZ9linv	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"				http://pbs.twimg.com/media/BO1ahVdCcAAbdXF.jpg			4H
Tue Jul 09 21:56:16 +0000 2013	354720686855565312	"Rep. Leonard Lance, R-7, ‘mobile office’ to be in Watchung July 16 

http://t.co/iAFDz1UqA3"	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							
Tue Jul 09 21:55:23 +0000 2013	354720463404007427	Congressman's Staff to Address Residents' Concerns in Basking Ridge, Bernardsville http://t.co/Axh4SYlgXe via @WatchungGBPatch	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							WatchungGBPatch
Mon Jul 01 14:11:48 +0000 2013	351704697746370562	Heidi and I send our thoughts and prayers to the families of the 19 brave firefighters who lost their lives battling wildfires in Arizona.	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Fri Jun 28 15:41:41 +0000 2013	350640150134521856	Student Borrowers Deserve Certainty from Washington, Says Congressman Lance http://t.co/QCo01ycBKy via @WestfieldPatch	"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>"							WestfieldPatch
