screen_name,followers,friends,tweets,place,user_location
ashyi999,289.0,1504.0,847.0,,Southerrn California
ciana_wood,289.0,263.0,5932.0,,"Arcata, CA"
spaghetti_sky,289.0,226.0,9549.0,,
Steven_ratata,289.0,225.0,8363.0,,"Modesto, CA"
WranglerWheeler,289.0,158.0,5293.0,"Modesto, CA",The State Of California
asssshpeeee,289.0,856.0,8686.0,,"Modesto, CA"
_juliasilveria,289.0,190.0,5731.0,,probably with diana 
themindofkrw,289.0,624.0,10621.0,,
Julieana145,289.0,206.0,6538.0,,
CraigWiIIiams,289.0,536.0,4592.0,"Turlock, CA","Atlanta, GA"
Trent_Osborn17,289.0,310.0,1422.0,,
juju_hude,289.0,544.0,1719.0,,"Hughson, CA"
RachelBaliel,289.0,353.0,940.0,,"Modesto, CA"
LysetteGamboa,289.0,429.0,4322.0,,"Modesto, CA"
fvckinlili,288.0,221.0,4533.0,,
MGMasterGroudon,288.0,105.0,6492.0,,"Minnesota, USA"
_renkinjutsushi,288.0,120.0,22836.0,,
Piinche_Janett,288.0,125.0,3815.0,,"Modesto, CA"
bmozmo,288.0,745.0,8987.0,,"Turlock, CA"
mrvl_x,288.0,267.0,2030.0,,LoveMrvl
SantosKassidy,288.0,345.0,2601.0,,"Turlock, CA"
47davee,288.0,105.0,4427.0,,
karrinanaranjo,287.0,220.0,15447.0,,
Bear05Sarah,287.0,169.0,7955.0,"Modesto, CA",
Cyntia__F,287.0,276.0,326.0,,"Ceres, CA"
bryanna_rose186,287.0,161.0,9114.0,,
cvWise,287.0,306.0,1336.0,,"Ceres, CA"
katmurray58,287.0,192.0,3514.0,,"methdesto, ca"
tmj_sjc_manuf,287.0,205.0,135.0,"California, USA","San Jose, CA"
andrewcoughman,287.0,205.0,1168.0,"Modesto, CA","Modesto, CA"
Sophiee______,286.0,272.0,6039.0,"Modesto, CA",
sabrinabainss,286.0,281.0,11845.0,"Modesto, CA","Empire, CA"
stevens_sobased,286.0,137.0,15469.0,,
benitabenyamin,286.0,287.0,1560.0,,"Turlock, CA"
trevorjravelli,286.0,270.0,245.0,,"Modesto, CA"
GwenTodd7,286.0,439.0,10161.0,,Cape Town
BazarkWWE,286.0,904.0,1929.0,,"Modesto, California"
d_v_d_16,285.0,588.0,1848.0,"Turlock, CA","Elk Grove, CA"
maaalikah,285.0,80.0,20645.0,,"Fort Worth, TX"
hinez_c,285.0,463.0,8034.0,,
jessiilandero,285.0,189.0,2830.0,,"Roseville, CA"
JaayFresh,285.0,81.0,19072.0,,"California, USA"
Bruno_Savore,285.0,203.0,576.0,,Ceres
LukeyPooOrth,285.0,185.0,9292.0,,"Modesto, CA"
meganissoshort,285.0,229.0,5213.0,,probably my bed
mrsmoriahcannon,285.0,251.0,6507.0,,
ohsickbro1055,285.0,239.0,1855.0,,
