created_at	id	text	source	quote_from	quote_id	pic_url	retweet_id	reply_id	user_mention0	retweeted_from
Mon Apr 11 15:59:34 +0000 2011	57472869302681600	Will be on @KMPHFOX26 with Kopi and Kim in a few minutes to talk about our Water & Power field hearing in Fresno today. Be sure to watch!	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							KMPHFOX26
Sat Apr 09 01:15:29 +0000 2011	56525605604311040	"“The well being of our troops and their families must come before politics...time for the Senate to act."" Read more: http://bit.ly/fUl7ZX"	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Fri Apr 08 19:54:31 +0000 2011	56444830842228737	Just talked w/ @Fresnomac on KYNO Radio in Fresno about need to fund our #troops and cut spending if we’re serious about creating #jobs.	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							Fresnomac
Fri Apr 08 19:48:13 +0000 2011	56443248914350080	RT @SpeakerBoehner: The House passed a bill to fund our troops, cut spending, prevent a shutdown; Senate should pass, President should sign.	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							SpeakerBoehner
Fri Apr 08 16:13:24 +0000 2011	56389185833156608	RT @GOPWhip: Time 2 stop playing party politics & deliver results, ppl deserve better. No more time 4 Dem inaction. #2futures	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"					56388425707823104		GOPWhip
Fri Apr 08 16:09:45 +0000 2011	56388267779702784	Here is information military families need to know in the event of a gov't shutdown. http://bit.ly/i3OAgR	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Fri Apr 08 14:56:24 +0000 2011	56369807817322496	We must fund our #troops if govt shuts down. They defend our freedom and deserve our support. #vets #gop	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Fri Apr 08 14:48:08 +0000 2011	56367730089144320	#FF fellow GOP #Vets Cmte Reps: @RepCliffStearns @RepStutzman @RepBuerkle @CongHuelskamp @CongJeffMiller @RepGusBilirakis @RepBillJohnson	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							RepCliffStearns
Thu Apr 07 19:50:43 +0000 2011	56081486943752193	I voted today to fund our #troops through end of fiscal year & for $12 billion more in spending cuts. #GOP #jobs #passabill	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Thu Apr 07 19:31:01 +0000 2011	56076528961855488	As I said the other day: “Harry Reid…You are running out of room to run away from the American public.” Time to do your job and #PassABill	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Thu Apr 07 19:17:49 +0000 2011	56073210856349696	RT @repdavid: 47 days since #GOP House passed bill to cut spending & keep govt running thru Sept; Dem Senate has yet to @PassABill #tcot	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							RepDavid
Thu Apr 07 18:19:39 +0000 2011	56058569161834496	@SIERRASUNTIMES - Administration Agrees to Denham Principles For BRAC Commission To Save Billions Of Taxpayer Dollars. http://bit.ly/ielAoP	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							SIERRASUNTIMES
Thu Apr 07 17:14:16 +0000 2011	56042115481874433	Watch a video from yesterday's @TransportGOP hearing on my facebook page: http://on.fb.me/fJQ6kH	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							TransportGOP
Thu Apr 07 16:11:03 +0000 2011	56026208562978816	The Administration agrees with my goals for a civilian BRAC commission. WATCH: http://bit.ly/dJk9kB	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Thu Apr 07 15:50:46 +0000 2011	56021101200945152	My thoughts and prayers go out to the families and friends of the officers involved in the Navy jet crash in Lemoore. http://bit.ly/fuqpKZ	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Wed Apr 06 21:21:02 +0000 2011	55741828577763328	"""Administration Agrees to Denham Principles For BRAC Commission To Save Billions Of Taxpayer Dollars."" Read more: http://bit.ly/dJk9kB"	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Tue Apr 05 22:10:33 +0000 2011	55391901599272960	@TransportGOP hearing tomorrow: Will BRAC-Style Consolidation for Federal Buildings Save Taxpayers Billions? http://1.usa.gov/eKcwGO #jobs	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							TransportGOP
Tue Apr 05 21:57:00 +0000 2011	55388491546247168	RT @MercedSunStar: Denham:  repealing 'Obamacare' a top priority: WASHINGTON, D.C.  Rep. Jeff Denham today issued the following st... h ...	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"					55388337334259712		MercedSunStar
Tue Apr 05 21:03:24 +0000 2011	55375004157755392	Called on Sen Dems to @PassABill today w/ #GOP members including @RepRickCrawford @RepPaulBrounMD @HerreraBeutler @RepFlores @RepTimGriffin	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							PassABill
Tue Apr 05 20:05:29 +0000 2011	55360430842982400	RT @AustinScottGA08: Pass The Bill, Mr. Reid! http://fb.me/SEH2blrR	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							AustinScottGA08
Tue Apr 05 18:06:57 +0000 2011	55330600038563840	Joined my GOP colleagues and called on Sen Reid and Sen Dems to #PassABill today. ICYMI - http://bit.ly/gPWxta http://twitpic.com/4hb7iy	"<a href=""http://twitpic.com"" rel=""nofollow"">Twitpic</a>"							
Tue Apr 05 17:49:11 +0000 2011	55326126133878785	“Harry Reid…You are running out of room to run away from the American public.”  WATCH: http://bit.ly/gNVBFM #PassABill #GOP	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Tue Apr 05 14:26:35 +0000 2011	55275142242254848	WATCH Chairman @RepPaulRyan 's video on the Path to Prosperity http://ow.ly/4tvit #2Futures #jobs #GOP	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
